ticker,name,source,sector
ADBE,Adobe Inc.,nasdaq100,
AMD,Advanced Micro Devices,nasdaq100,
ABNB,Airbnb,nasdaq100,
ALNY,Alnylam Pharmaceuticals,nasdaq100,
GOOGL,Alphabet Inc. (Class A),nasdaq100,
GOOG,Alphabet Inc. (Class C),nasdaq100,
AMZN,Amazon,nasdaq100,
AEP,American Electric Power,nasdaq100,
AMGN,Amgen,nasdaq100,
ADI,Analog Devices,nasdaq100,
AAPL,Apple Inc.,nasdaq100,
AMAT,Applied Materials,nasdaq100,
APP,AppLovin,nasdaq100,
ARM,Arm Holdings,nasdaq100,
ASML,ASML Holding,nasdaq100,
ADSK,Autodesk,nasdaq100,
ADP,Automatic Data Processing,nasdaq100,
AXON,Axon Enterprise,nasdaq100,
BKR,Baker Hughes,nasdaq100,
BKNG,Booking Holdings,nasdaq100,
AVGO,Broadcom,nasdaq100,
CDNS,Cadence Design Systems,nasdaq100,
CHTR,Charter Communications,nasdaq100,
CTAS,Cintas,nasdaq100,
CSCO,Cisco,nasdaq100,
CCEP,Coca-Cola Europacific Partners,nasdaq100,
CTSH,Cognizant,nasdaq100,
CMCSA,Comcast,nasdaq100,
CEG,Constellation Energy,nasdaq100,
CPRT,Copart,nasdaq100,
COST,Costco,nasdaq100,
CRWD,CrowdStrike,nasdaq100,
CSX,CSX Corporation,nasdaq100,
DDOG,Datadog,nasdaq100,
DXCM,DexCom,nasdaq100,
FANG,Diamondback Energy,nasdaq100,
DASH,DoorDash,nasdaq100,
EA,Electronic Arts,nasdaq100,
EXC,Exelon,nasdaq100,
FAST,Fastenal,nasdaq100,
FER,Ferrovial,nasdaq100,
FTNT,Fortinet,nasdaq100,
GEHC,GE HealthCare,nasdaq100,
GILD,Gilead Sciences,nasdaq100,
HON,Honeywell,nasdaq100,
IDXX,Idexx Laboratories,nasdaq100,
INSM,Insmed Incorporated,nasdaq100,
INTC,Intel,nasdaq100,
INTU,Intuit,nasdaq100,
ISRG,Intuitive Surgical,nasdaq100,
KDP,Keurig Dr Pepper,nasdaq100,
KLAC,KLA Corporation,nasdaq100,
KHC,Kraft Heinz,nasdaq100,
LRCX,Lam Research,nasdaq100,
LIN,Linde plc,nasdaq100,
LITE,Lumentum,nasdaq100,
MAR,Marriott International,nasdaq100,
MRVL,Marvell Technology,nasdaq100,
MELI,Mercado Libre,nasdaq100,
META,Meta Platforms,nasdaq100,
MCHP,Microchip Technology,nasdaq100,
MU,Micron Technology,nasdaq100,
MSFT,Microsoft,nasdaq100,
MSTR,MicroStrategy,nasdaq100,
MDLZ,Mondelez International,nasdaq100,
MPWR,Monolithic Power Systems,nasdaq100,
MNST,Monster Beverage,nasdaq100,
NFLX,"Netflix, Inc.",nasdaq100,
NVDA,Nvidia,nasdaq100,
NXPI,NXP Semiconductors,nasdaq100,
ORLY,O'Reilly Automotive,nasdaq100,
ODFL,Old Dominion Freight Line,nasdaq100,
PCAR,Paccar,nasdaq100,
PLTR,Palantir Technologies,nasdaq100,
PANW,Palo Alto Networks,nasdaq100,
PAYX,Paychex,nasdaq100,
PYPL,PayPal,nasdaq100,
PDD,PDD Holdings,nasdaq100,
PEP,PepsiCo,nasdaq100,
QCOM,Qualcomm,nasdaq100,
REGN,Regeneron Pharmaceuticals,nasdaq100,
ROP,Roper Technologies,nasdaq100,
ROST,Ross Stores,nasdaq100,
SNDK,Sandisk,nasdaq100,
STX,Seagate Technology,nasdaq100,
SHOP,Shopify,nasdaq100,
SBUX,Starbucks,nasdaq100,
SNPS,Synopsys,nasdaq100,
TMUS,T-Mobile US,nasdaq100,
TTWO,Take-Two Interactive,nasdaq100,
TSLA,"Tesla, Inc.",nasdaq100,
TXN,Texas Instruments,nasdaq100,
TRI,Thomson Reuters,nasdaq100,
VRSK,Verisk Analytics,nasdaq100,
VRTX,Vertex Pharmaceuticals,nasdaq100,
WMT,Walmart,nasdaq100,
WBD,Warner Bros. Discovery,nasdaq100,
WDC,Western Digital,nasdaq100,
WDAY,"Workday, Inc.",nasdaq100,
XEL,Xcel Energy,nasdaq100,
ZS,Zscaler,nasdaq100,
