date,equity,benchmark_equity,open_positions,capital_exposure_pct
2026-02-10,100000.0,,,
2026-02-10,100256.02,,3.0,100.0
2026-02-11,98085.23,,2.0,67.8044
2026-02-12,94794.42,,3.0,100.0
2026-02-13,95820.84,,2.0,69.2443
2026-02-17,96711.37,,3.0,100.0
2026-02-18,99127.98,,3.0,100.0
2026-02-19,101306.37,,3.0,100.0
2026-02-20,105940.56,,3.0,100.0
2026-02-23,107033.0,,3.0,100.0
2026-02-24,107896.29,,1.0,29.4459
2026-02-25,109584.02,,3.0,96.534
2026-02-26,106304.15,,3.0,96.427
2026-02-27,105751.77,,3.0,96.4084
2026-03-02,105961.99,,2.0,66.9342
2026-03-03,101083.77,,2.0,66.0884
2026-03-04,101646.8,,3.0,99.9548
2026-03-05,99333.0,,3.0,99.9538
2026-03-06,94954.01,,2.0,66.5777
2026-03-09,95310.49,,2.0,67.0969
2026-03-10,94940.44,,3.0,100.0
2026-03-11,96537.64,,3.0,100.0
2026-03-12,95281.16,,3.0,100.0
2026-03-13,95240.76,,3.0,100.0
2026-03-16,97883.62,,2.0,65.4736
2026-03-17,99312.36,,3.0,98.7363
2026-03-18,98623.5,,3.0,98.7275
2026-03-19,98013.83,,3.0,98.7195
2026-03-20,95170.5,,2.0,63.7117
2026-03-23,93341.67,,2.0,64.8582
2026-03-24,95804.47,,2.0,67.9267
2026-03-25,96175.46,,3.0,100.0
2026-03-26,90099.67,,3.0,100.0
2026-03-27,89538.25,,3.0,100.0
2026-03-30,85354.81,,2.0,66.1507
2026-03-31,89082.12,,3.0,99.8626
2026-04-01,91185.67,,3.0,99.8658
2026-04-02,92368.69,,3.0,99.8675
2026-04-06,91779.11,,3.0,99.8667
2026-04-07,92332.08,,2.0,64.7012
2026-04-08,94929.55,,1.0,32.5236
2026-04-09,96616.39,,3.0,99.5349
2026-04-10,97235.82,,3.0,99.5379
2026-04-13,97745.91,,3.0,99.5403
2026-04-14,98584.48,,3.0,99.5442
2026-04-15,97560.99,,3.0,99.5395
2026-04-16,98045.45,,3.0,99.5417
2026-04-17,100895.65,,3.0,99.5547
2026-04-20,99502.07,,3.0,99.5484
2026-04-21,101343.37,,2.0,65.2395
2026-04-22,102437.59,,1.0,33.3643
2026-04-23,104865.06,,3.0,99.9633
2026-04-24,105973.5,,3.0,99.9637
2026-04-27,104751.75,,3.0,99.9632
2026-04-28,100266.68,,2.0,68.126
2026-04-29,100238.32,,3.0,100.0
2026-04-30,108491.77,,2.0,68.1629
2026-05-01,109850.38,,3.0,100.0
2026-05-04,110519.82,,3.0,100.0
2026-05-05,113597.81,,1.0,33.1224
2026-05-06,111145.68,,3.0,99.817
2026-05-07,108780.2,,3.0,99.8131
2026-05-08,110250.88,,3.0,99.8156
2026-05-11,115011.16,,2.0,68.3779
2026-05-12,112484.61,,3.0,100.0
2026-05-13,116308.17,,3.0,100.0
2026-05-14,118803.27,,1.0,31.8954
2026-05-15,118100.52,,3.0,97.7971
2026-05-18,112601.04,,3.0,97.6895
2026-05-19,112462.08,,2.0,66.3522
2026-05-20,114814.28,,3.0,100.0
2026-05-21,112848.09,,3.0,100.0
2026-05-22,110983.11,,3.0,100.0
2026-05-26,112138.97,,1.0,33.7272
2026-05-27,110205.2,,3.0,100.0
2026-05-28,109396.29,,3.0,100.0
2026-05-29,109416.33,,3.0,100.0
2026-06-01,109325.48,,3.0,100.0
2026-06-02,112417.66,,2.0,68.3641
2026-06-03,113045.21,,3.0,100.0
2026-06-04,107897.58,,2.0,69.9801
2026-06-05,100598.0,,2.0,68.2454
2026-06-08,103457.79,,3.0,100.0
2026-06-09,101679.6,,1.0,33.1095
2026-06-10,100991.17,,3.0,100.0
2026-06-11,112505.38,,2.0,66.099
2026-06-12,107905.62,,2.0,69.1828
2026-06-15,109283.32,,3.0,100.0
2026-06-16,106771.18,,3.0,100.0
2026-06-17,112073.23,,2.0,63.1145
2026-06-18,112850.24,,3.0,97.4368
2026-06-22,114089.73,,3.0,97.4646
2026-06-23,110657.44,,3.0,97.386
2026-06-24,109178.02,,2.0,65.9356
2026-06-25,110079.76,,3.0,100.0
2026-06-26,106898.77,,0.0,0.0
